"Data Source","World Development Indicators",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013",
"Ecuador","ECU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4380","4680","4850","4990","5220","5330","5400","5640","5730","5290","5310","5680","5950","6100","6630","7130","7570","7810","8460","8450","8710","9420","9920","",
"Egypt, Arab Rep.","EGY","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3800","3960","4170","4300","4540","4800","5080","5390","5590","5910","6260","6530","6610","6830","7180","7610","8560","9100","9760","10070","10360","10330","10600","",
"Euro area","EMU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16448.9239334276","17312.1144734791","17826.4537190849","18075.7003838814","18794.9546769966","19636.772178907","20328.2257458475","21179.6604899242","22083.9527301555","22945.9940110729","24346.0518447862","25469.5701105082","26214.0968253911","26697.4884455597","27880.9882924303","29156.220885657","31640.020192712","33293.2349267943","34419.8773032544","33801.069513595","34688.3711159671","36155.1742414861","37071.0792726704","",
"Eritrea","ERI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","710","820","1010","1060","1130","1220","1230","1210","1150","1220","1220","1150","1150","1180","1160","1170","1040","1050","1050","1130","1190","",
"Spain","ESP","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13200","13960","14350","14550","14980","15880","16550","17530","18710","19640","21160","22220","23640","24380","25460","26850","29700","31190","31990","31350","30900","31090","31760","",
"Estonia","EST","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6320","6970","7780","8360","8620","9500","10220","11420","12630","13990","15860","18140","20130","20960","19350","19380","21960","23280","",
"Ethiopia","ETH","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","410","380","340","380","390","410","460","460","440","460","480","520","520","500","570","640","720","800","880","940","1040","1150","1240","",
"European Union","EUU","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14332.4802684626","14934.001482054","15364.3036186362","15689.6176114115","16457.0088602171","17251.8680640692","17975.9446276821","18825.4550209967","19658.4721929443","20382.0665500596","21727.9435302995","22856.6405101813","23722.7378055551","24338.9109987589","25589.7370160764","26811.4508051195","29049.4178325307","30611.2540400114","31842.8435773666","31197.4819718246","31915.5330860908","33255.8015492749","34073.5874865189","",
"Finland","FIN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17090","16360","15870","15930","17000","18160","18750","20570","22050","23310","25500","26530","27580","27420","30070","30850","33480","36130","38240","36450","37130","38710","39150","",
"Fiji","FJI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3790","3800","4060","4180","4360","4640","4920","4820","4810","5270","5560","5620","5970","6100","6580","6910","6830","7010","7130","7170","7000","7210","7390","",
